kode_entitas;nama_entitas;sektor;subsektor;industri;subindustri;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;Jumlah_laba_rugi_sebelum_pajak_penghasilan;Jumlah_laba_rugi_dari_operasi_yang_dilanjutkan;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal;Jumlah_kenaikan_penurunan_bersih_kas_dan_setara_kas;Kas_dan_setara_kas_arus_kas_akhir_periode
CPIN;Charoen Pokphand Indonesia Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;15715060.0;19730991.0;35446051.0;7836101.0;2459951.0;10296052.0;163980.0;0;-43385.0;25135288.0;25149999.0;35446051.0;8138825.0;4633546.0;3619010.0;3619010.0;3636892.0;3638833.0;3620961.0;-1951.0;-1013251.0;1666307.0
CPRO;Central Proteina Prima Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;1818753.0;4625685.0;6444438.0;2055151.0;1515546.0;3570697.0;5002156.0;0;-1102556.0;2871304.0;2873741.0;6444438.0;1494905.0;2282950.0;2209313.0;2209313.0;2150474.0;2149895.0;2208722.0;591.00.00;-204078.0;98125.0
CRAB;PT Toba Surimi Industries Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;211294844380.0;78141780510.0;289436624890.0;144634170598.0;31473848414.0;176108019012.0;78000000000.0;0;2800000000.0;113328605878.0;113328605878.0;289436624890.0;61436386229.0;9703516805.0;7280371490.0;7280371490.0;7350967323.0;7350967323.0;7280371490.0;0;-23769803085.0;20662476796.0
CSAP;Catur Sentosa Adiprana Tbk;E. Consumer Cyclicals;E7. Retailing;E74. Specialty Retail;E743. Home Improvement Retail;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;4889716585.0;3615410976.0;8505127561.0;4466558051.0;1773382559.0;6239940610.0;445835292.0;0;709679146.0;2105519599.0;2265186951.0;8505127561.0;2289955873.0;288064940.0;225314512.0;225314512.0;234415137.0;220388140.0;211514218.0;13800294.0;-43180576.0;66944508.0
CSIS;PT Cahayasakti Investindo Sukses Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;430194381586.0;95941759030.0;526136140616.0;218419841952.0;20738972473.0;239158814425.0;130700000000.0;;29367881564.0;146747413091.0;286977326191.0;526136140616.0;32322087031.0;21672254143.0;19810506330.0;19810506330.0;19891812671.0;9994361353.0;9913055012.0;9897451318.0;2687031699.0;7378923559.0
CSMI;PT Cipta Selera Murni Tbk.;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E515. Restaurants;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;12674084003.0;89269197849.0;101943281852.0;56931451527.0;25227520012.0;82158971539.0;40803075000.0;0;23762736134.0;19300587461.0;19784310313.0;101943281852.0;33993813015.0;-12988320075.0;-13556479305.0;-13556479305.0;-11209923028.0;-10951485984.0;-13298042261.0;-258437044.0;-291208563.0;3708544557.0
CSRA;PT Cisadane Sawit Raya Tbk.;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;570930149403.0;1182310700606.0;1753240850009.0;263343709203.0;708604281341.0;971947990544.0;205000000000.0;;-259618166987.0;781277859465.0;781292859465.0;1753240850009.0;507732176194.0;337125715403.0;259650288797.0;259650288797.0;260261389999.0;260261389999.0;259650288797.0;;323649805247.0;365501446520.0
CTBN;Citra Tubindo Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B144. Iron & Steel;National and Foreign Corporation;Joint Venture - Non-Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;85141198.0;51678609.0;136819807.0;39174285.0;8129978.0;47304263.0;37938203.0;;12869517.0;89482151.0;89515544.0;136819807.0;10302154.0;-14378655.0;-16017388.0;-16017388.0;-16033756.0;-16033162.0;-16017016.0;-372.0;-11260310.0;8810819.0
CTRA;Ciputra Development Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;21916840.0;18751571.0;40668411.0;10963375.0;10310839.0;21274214.0;4640076.0;;3570020.0;16970593.0;19394197.0;40668411.0;4839818.0;2396714.0;2087716.0;2087716.0;2142274.0;1789360.0;1735329.0;352387.0;1868999.0;7161587.0
CTTH;Citatah Tbk;C. Industrials;C1. Industrial Goods;C12. Building Products & Fixtures;C121. Building Products & Fixtures;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;416356409542.0;273564636911.0;689921046453.0;320292886117.0;165076915981.0;485369802098.0;459083982100.0;0;77743182896.0;204582774975.0;204551244355.0;689921046453.0;26227408194.0;-19232674809.0;-21904831658.0;-21904831658.0;-25101890554.0;-25102186955.0;-21905128059.0;296401.0;-2068668506.0;2318871454.0
DADA;PT Diamond Citra Propertindo Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;527464154442.0;103769231186.0;631233385628.0;215090754047.0;72835745978.0;287926500025.0;143540007640.0;0;154685723750.0;342553298061.0;343306885603.0;631233385628.0;25647908646.0;7004158489.0;5087365030.0;5087365030.0;5176938608.0;5168638411.0;5086778715.0;586315.0;44984941451.0;67592972739.0
DART;Duta Anggada Realty Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;188892861.0;6415141729.0;6604034590.0;1287069124.0;2813678004.0;4100747128.0;1570695481.0;0;454133542.0;2503299520.0;2503287462.0;6604034590.0;76324097.0;-408739891.0;-411222141.0;-411222141.0;-410821319.0;-410816302.0;-411217124.0;-5017.0;65410628.0;95141814.0
DAYA;PT Duta Intidaya Tbk.;D. Consumer Non-Cyclicals;D1. Food & Staples Retailing;D11. Food & Staples Retailing;D111. Drug Retail & Distributors;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;342889066.0;346235638.0;689124704.0;510578397.0;106602595.0;617180992.0;242054702.0;0;58590452.0;71943712.0;71943712.0;689124704.0;366786224.0;-47416425.0;-51708764.0;-51708764.0;-48199860.0;-48199860.0;-51708764.0;0;-14799725.0;62506055.0
DCII;PT DCI Indonesia Tbk;I. Technology;I1. Software & IT Services;I12. IT Services & Consulting;I121. IT Services & Consulting;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Jutaan / In Million;297288.0;2694325.0;2991613.0;465692.0;1310967.0;1776659.0;297968.0;0;101254.0;1214954.0;1214954.0;2991613.0;476002.0;332159.0;261451.0;261451.0;344864.0;344864.0;261451.0;0;-28466.0;50497.0
DEAL;PT Dewata Freightinternational Tbk.;K. Transportation & Logistic;K2. Logistics & Deliveries;K21. Logistics & Deliveries;K211. Logistics & Deliveries;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;69272490998.0;101058710371.0;170331201369.0;129569093377.0;75727964271.0;205297057648.0;114617095900.0;;11026222358.0;-34527745970.0;-34965856279.0;170331201369.0;-3163954733.0;-31136111147.0;-28407859735.0;-28407859735.0;-26926488661.0;-26752352517.0;-28233723591.0;-174136144.0;620849447.0;3344259420.0
DEFI;Danasupra Erapacific Tbk;G. Financials;G2. Financing Service;G21. Consumer Financing;G211. Consumer Financing;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;73509643291.0;0;0;780485430.0;33800000000.0;0;-202810333.0;72729157861.0;72729157861.0;73509643291.0;0;-4220834891.0;-4643580490.0;-4643580490.0;-9718800332.0;-9718800332.0;-4643580490.0;0;9596552003.0;16159662034.0
DEPO;PT Caturkarda Depo Bangunan Tbk;E. Consumer Cyclicals;E7. Retailing;E74. Specialty Retail;E743. Home Improvement Retail;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;1103849223554.0;587422177557.0;1691271401111.0;473045834649.0;102723076184.0;575768910833.0;169750000000.0;0;483181229631.0;1115502489155.0;1115502490278.0;1691271401111.0;415290746650.0;111807292814.0;87854664744.0;87854664744.0;90071344168.0;89316916799.0;87145236487.0;709428257.0;352350455723.0;376998936108.0
DEWA;Darma Henwa Tbk;A. Energy;A1. Oil, Gas & Coal;A13. Oil, Gas & Coal Supports;A132. Oil, Gas & Coal Equipment & Services;Foreign Corporation;Foreign Company;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;163456035.0;400040563.0;563496598.0;200569595.0;92074290.0;292643885.0;241169504.0;0;78777981.0;270653781.0;270852713.0;563496598.0;34819500.0;9623301.0;1092252.0;1092252.0;1471858.0;1466252.0;1086646.0;5606.00.00;4879706.0;21969323.0
DEWI;PT Dewi Shri Farmindo Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;27375103381.0;57735926602.0;85111029983.0;9080364569.0;3701945628.0;12782310197.0;65000000000.0;0;00.00;72328719786.0;72328719786.0;85111029983.0;13128671061.0;7887348458.0;6414943557.0;6414943557.0;6209488273.0;6209488273.0;6414943557.0;00.00;198452339.0;1409203778.0
DFAM;PT Dafam Property Indonesia Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;91584386833.0;180404181584.0;271988568417.0;52471847964.0;149578062261.0;202049910225.0;189985285000.0;0;-85238317415.0;71853437734.0;69938658192.0;271988568417.0;43200881921.0;-17316924350.0;-15033311947.0;-15033311947.0;-14105119387.0;-13316627741.0;-14233558338.0;-799753609.0;-1525808693.0;5284999361.0
DGIK;Nusa Konstruksi Enjiniring  Tbk;J. Infrastructures;J2. Heavy Constructions & Civil Engineering;J21. Heavy Constructions & Civil Engineering;J211. Heavy Constructions & Civil Engineering;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;474820997780.0;536555739716.0;1011376737496.0;288277893730.0;72049741482.0;360327635212.0;554116500000.0;;254198352119.0;650575341041.0;651049102284.0;1011376737496.0;50907550738.0;10373008751.0;7839739771.0;7839739771.0;4920376656.0;4918156338.0;7837519453.0;2220318.0;18779436651.0;116304193913.0
DGNS;PT Diagnos Laboratorium Utama Tbk;F. Healthcare;F1. Healthcare Equipment & Providers;F12. Healthcare Providers;F121. Healthcare Providers;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;153863946450.0;88118847396.0;241982793846.0;26628338548.0;13554004877.0;40182343425.0;31250000000.0;0;36706723099.0;201800450421.0;201800450421.0;241982793846.0;150500180543.0;83278871864.0;64303505543.0;64303505543.0;65806321180.0;65806321180.0;64303505543.0;0;28181585745.0;44719856095.0
DIGI;PT Arkadia Digital Media Tbk;E. Consumer Cyclicals;E6. Media & Entertainment;E61. Media;E614. Consumer Publishing;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;8197828271.0;26234914416.0;34432742687.0;4500139872.0;15458897183.0;19959037055.0;32500000000.0;0;11690000000.0;14459324602.0;14473705632.0;34432742687.0;22177933607.0;-13426895853.0;-13095850735.0;-13095850735.0;-12998723238.0;-12998157897.0;-13095285394.0;-565341.0;-5493507129.0;4896974460.0
DILD;Intiland Development Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;6668818368239.0;9791186459388.0;16460004827627.0;6489247592873.0;3923380507136.0;10412628100009.0;2591463546250.0;0;1096320037357.0;5238504760518.0;6047376727618.0;16460004827627.0;1027926610370.0;52812173054.0;-29065195094.0;-29065195094.0;-18349306265.0;22599953999.0;13137320895.0;-42202515989.0;632036720050.0;1753785483563.0
DIVA;PT Distribusi Voucher Nusantara Tbk;I. Technology;I1. Software & IT Services;I11. Online Applications & Services;I111. Online Applications & Services;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;2206333656195.0;153815155920.0;2360148812115.0;191386988866.0;20294151908.0;211681140774.0;71428570000.0;0;592674751173.0;2097894247449.0;2148467671341.0;2360148812115.0;117087283485.0;1266091759969.0;1266422157779.0;1266422157779.0;1266472838416.0;1260053675598.0;1260037703544.0;6384454235.0;118642525080.0;251973930638.0
DKFT;Central Omega Resources Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B146. Diversified Metals & Minerals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;916048993518.0;1328068574592.0;2244117568110.0;1021681462994.0;863402701670.0;1885084164664.0;563824660000.0;0;517429165789.0;488099082018.0;359033403446.0;2244117568110.0;-50792416858.0;-254258238326.0;-341481945877.0;-341481945877.0;-339816973559.0;-184331446124.0;-185933036242.0;-155548909635.0;269769717059.0;314105114395.0
DLTA;Delta Djakarta Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D21. Beverages;D211. Liquors;National and Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;1174393432.0;134328633.0;1308722065.0;244206806.0;54341242.0;298548048.0;16013181.0;;19015656.0;1006764389.0;1010174017.0;1308722065.0;476590935.0;240865871.0;187992998.0;187992998.0;190439817.0;190496449.0;188049630.0;-56632.0;115571053.0;812799484.0
DMAS;PT Puradelta Lestari Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National and Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;3165390132316.0;2948551471038.0;6113941603354.0;700412191939.0;62356230735.0;762768422674.0;4819811110000.0;;379730372583.0;5348178804911.0;5351173180680.0;6113941603354.0;846533908967.0;730898148439.0;714858418799.0;714858418799.0;715442935236.0;715323867415.0;714740525315.0;117893484.0;-776508378085.0;598937798447.0
DMMX;PT Digital Mediatama Maxima Tbk;I. Technology;I1. Software & IT Services;I12. IT Services & Consulting;I121. IT Services & Consulting;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;851351704159.0;234414155181.0;1085765859340.0;92444835607.0;41979051645.0;134423887252.0;76923077000.0;0;576750717233.0;921426192220.0;951341972088.0;1085765859340.0;67581375798.0;244925821883.0;239152839217.0;239152839217.0;239129073597.0;239340616378.0;239355619977.0;-202780760.0;-9713080707.0;240745578776.0
DMND;PT Diamond Food Indonesia Tbk.;D. Consumer Non-Cyclicals;D1. Food & Staples Retailing;D11. Food & Staples Retailing;D112. Food Retail & Distributors;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;3965274.0;2332013.0;6297287.0;1106492.0;171414.0;1277906.0;236709.0;0;1080618.0;5002511.0;5019381.0;6297287.0;1476592.0;449922.0;351470.0;351470.0;363731.0;358765.0;346507.0;4963.00.00;-2999.0;1192996.0
DNAR;PT Bank Oke Indonesia Tbk.;G. Financials;G1. Banks;G11. Banks;G111. Banks;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;0;0;7721344206381.0;0;0;4681638119882.0;1409998511100.0;0;1429008469465.0;3039706086499.0;3039706086499.0;0;0;25828366659.0;17460307203.0;17460307203.0;19031480032.0;19031480032.0;17460307203.0;0;412637556418.0;1422172836605.0
DNET;PT Indoritel Makmur Internasional Tbk.;G. Financials;G5. Holding & Investment Companies;G51. Holding & Investment Companies;G512. Investment Companies;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Jutaan / In Million;5373850.0;12748631.0;18122481.0;1140947.0;5684323.0;6825270.0;3546000.0;;3481850.0;10873931.0;11297211.0;18122481.0;844412.0;990293.0;968473.0;968473.0;892609.0;851733.0;926917.0;41556.0;262693.0;440052.0
DOID;Delta Dunia Makmur Tbk;A. Energy;A1. Oil, Gas & Coal;A13. Oil, Gas & Coal Supports;A132. Oil, Gas & Coal Equipment & Services;No Controlling Shareholder;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;674011530.0;961946777.0;1635958307.0;474075197.0;896226921.0;1370302118.0;47317783.0;0;145040748.0;265655972.0;265656189.0;1635958307.0;134858912.0;8018258.0;280546.0;280546.0;1904916.0;1904913.0;280543.0;03.00;82660352.0;194341065.0
DPNS;Duta Pertiwi Nusantara Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;225928824403.0;136313747002.0;362242571405.0;23888996571.0;30396719846.0;54285716417.0;82782488000.0;;-1884225133.0;274752464124.0;307956854988.0;362242571405.0;46579766798.0;28186888107.0;22723655893.0;22723655893.0;23147561947.0;24200979978.0;23880540782.0;-1156884889.0;1009837030.0;83295905647.0
DPUM;PT Dua Putra Utama Makmur Tbk.;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;371313092931.0;1016853652389.0;1388166745320.0;91421864891.0;676289938261.0;767711803152.0;417500000000.0;;711753580235.0;620454942168.0;620454942168.0;1388166745320.0;-71552737700.0;-102486762543.0;-79591406147.0;-79591406147.0;-78022825952.0;-78022825952.0;-79591406147.0;;4284979316.0;4681073826.0
DRMA;PT Dharma Polimetal Tbk;E. Consumer Cyclicals;E1. Automobiles & Components;E11. Auto Components;E111. Auto Parts & Equipment;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;1346054078689.0;1190874054799.0;2536928133488.0;1098095960354.0;356715255349.0;1454811215703.0;470588230000.0;;338579284968.0;1073976645428.0;1082116917785.0;2536928133488.0;452009249899.0;367980374796.0;305382393152.0;305382393152.0;303192823889.0;298626623278.0;301143099395.0;4239293757.0;346630954424.0;415255737745.0
DSFI;Dharma Samudera Fishing Ind. Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;233778414610.0;157976415713.0;391754830323.0;151593411635.0;28754792376.0;180348204011.0;185713550000.0;;18433570833.0;211277652700.0;211406626312.0;391754830323.0;85254645239.0;18260550553.0;14571697139.0;14571697139.0;18030821747.0;18009638194.0;14550513586.0;21183553.0;-584152644.0;7904524859.0
DSNG;PT Dharma Satya Nusantara Tbk.;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Jutaan / In Million;2321635.0;11390525.0;13712160.0;1856163.0;4830534.0;6686697.0;211997.0;0;679260.0;6900337.0;7025463.0;13712160.0;2024526.0;965884.0;739649.0;739649.0;838311.0;822193.0;727153.0;12496.0;-184655.0;419877.0
DSSA;Dian Swastatika Sentosa Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;1145452766.0;1864619930.0;3010072696.0;673072115.0;586791322.0;1259863437.0;72498628.0;0;10531355.0;1527542293.0;1750209259.0;3010072696.0;902116999.0;379375031.0;265337533.0;265337533.0;281987097.0;144275244.0;120077514.0;145260019.0;-89051805.0;521356411.0
DUTI;Duta Pertiwi Tbk;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;7924474668931.0;7384448778848.0;15308923447779.0;2425833181007.0;1921600939806.0;4347434120813.0;925000000000.0;;465081634211.0;9160632739006.0;10961489326966.0;15308923447779.0;1352601430800.0;731322766012.0;730113120884.0;730113120884.0;739372246141.0;668231145849.0;659891191326.0;70221929558.0;931267336239.0;3375031454437.0
DVLA;Darya-Varia Laboratoria Tbk;F. Healthcare;F2. Pharmaceuticals & Health Care Research;F21. Pharmaceuticals;F211. Pharmaceuticals;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;1526661913.0;556249409.0;2082911322.0;595101699.0;96397484.0;691499183.0;280000000.0;;78273607.0;1391412139.0;1391412139.0;2082911322.0;995768212.0;211511203.0;146505337.0;146505337.0;170889949.0;170889949.0;146505337.0;;318073557.0;583296075.0
DWGL;PT Dwi Guna Laksana Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A122. Coal Distribution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;731140448.0;514565394.0;1245705842.0;786246008.0;323046086.0;1109292094.0;924471726.0;0;386578754.0;136413741.0;136413748.0;1245705842.0;176263546.0;84446123.0;94223798.0;94223798.0;94140257.0;94140256.0;94223797.0;01.00;-51000751.0;89384864.0
DYAN;PT Dyandra Media International Tbk.;C. Industrials;C2. Industrial Services;C22. Commercial Services;C224. Business Support Services;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;0;0;959596413102.0;0;0;478290525186.0;427296427900.0;;259248208686.0;441413088764.0;481305887916.0;959596413102.0;130030601511.0;-86101354398.0;-87787279769.0;-87787279769.0;-88943459088.0;-76997452588.0;-75462154727.0;-12325125042.0;-41824017646.0;51820638194.0
EAST;PT Eastparc Hotel Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;Individual Foreign, Residential;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;13485671854.0;246207307257.0;259692979111.0;8195415801.0;5945647004.0;14141062805.0;206318309750.0;0;32892906501.0;245551916306.0;245551916306.0;259692979111.0;35501091688.0;14466956206.0;12146882356.0;12146882356.0;12057651862.0;12057651862.0;12146882356.0;0;-566727805.0;1131974178.0
ECII;PT Electronic City Indonesia Tbk.;E. Consumer Cyclicals;E7. Retailing;E74. Specialty Retail;E742. Electronics Retail;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;1098971912221.0;798236708643.0;1897208620864.0;424753994044.0;71645247964.0;496399242008.0;133433300000.0;0;1223693710389.0;1400501161869.0;1400809378856.0;1897208620864.0;302882634365.0;14144096025.0;8707297154.0;8707297154.0;147995925935.0;148016705848.0;8728077067.0;-20779913.0;-73422366357.0;323813668062.0
EDGE;PT Indointernet Tbk.;I. Technology;I1. Software & IT Services;I12. IT Services & Consulting;I121. IT Services & Consulting;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;494923.0;776213.0;1271136.0;218194.0;20895.0;239089.0;20203.0;;582610.0;1027279.0;1032047.0;1271136.0;201542.0;159832.0;123873.0;123873.0;124142.0;123839.0;123570.0;303.00.00;230125.0;335854.0
EKAD;Ekadharma International Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;643773422158.0;521791323105.0;1165564745263.0;82981081779.0;52184217420.0;135165299199.0;34938750000.0;0;138490000.0;998239584239.0;1030399446064.0;1165564745263.0;224642195506.0;137720156180.0;108490477354.0;108490477354.0;110680838874.0;106600026941.0;104409665421.0;4080811933.0;12549066969.0;360662679743.0
ELIT;PT Data Sinergitama Jaya Tbk;I. Technology;I1. Software & IT Services;I12. IT Services & Consulting;I121. IT Services & Consulting;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;26430318911.0;23814379689.0;50244698600.0;19868277216.0;10877763959.0;30746041175.0;13000036000.0;0;00.00;19498657425.0;19498657425.0;50244698600.0;28719185357.0;7302438282.0;4891941918.0;4891941918.0;4975756919.0;4975756919.0;4891941918.0;00.00;11932478470.0;14326469717.0
ELPI;PT Pelayaran Nasional Ekalya Purnamasari Tbk;K. Transportation & Logistic;K2. Logistics & Deliveries;K21. Logistics & Deliveries;K211. Logistics & Deliveries;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;236655.0;1397635.0;1634290.0;85837.0;212118.0;297955.0;630000.0;0;107794.0;1317711.0;1336335.0;1634290.0;163195.0;105737.0;105199.0;105199.0;182869.0;180038.0;107650.0;-2451.0;-48344.0;51738.0
ELSA;Elnusa Tbk;A. Energy;A1. Oil, Gas & Coal;A13. Oil, Gas & Coal Supports;A131. Oil & Gas Drilling Service;National Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;4446784.0;2788073.0;7234857.0;2561234.0;895489.0;3456723.0;729850.0;0;435691.0;3776525.0;3778134.0;7234857.0;645494.0;230752.0;108852.0;108852.0;111924.0;111812.0;108740.0;112.00.00;-89806.0;1144769.0
